m1_source,m2_source,chi1,chi2,dL,Lambda1,Lambda2
1.391810767366815416e+00,1.333450958078501003e+00,4.856484592080994450e-02,1.515724715046224032e-02,4.401741338539461168e+01,1.234439021549934296e+03,4.794915029307288137e+02
1.472516497263725688e+00,1.268964251642588303e+00,4.421642550373274666e-03,4.340339367446466312e-02,3.032270429939139333e+01,2.124024924619282899e+02,4.768416223524636166e+01
1.436605900623157073e+00,1.293587261971211433e+00,4.153345309262944374e-02,2.606062628528885844e-02,4.136593106900791383e+01,1.616078393167102263e+02,8.297747585805909765e+00
1.531186916463466607e+00,1.223802254781721555e+00,3.806411140989630210e-02,4.480665170893928517e-02,2.731111692287312920e+01,2.512673916957303533e+01,1.106342740805114090e+03
1.571610261218392202e+00,1.189636327817024775e+00,4.713799615921667472e-04,3.935463298707594926e-02,3.514731924599823287e+01,4.291825004837293989e+01,2.492608868040856578e+02
1.504049272812507443e+00,1.238039014974090302e+00,4.598461961653316915e-02,1.772063585385593928e-02,4.042451655863724369e+01,1.241959863503328023e+02,6.696263361609425147e+02
1.431691458518263405e+00,1.301616090873417564e+00,2.175140284915823286e-02,1.835369070176291403e-02,3.549095778707004456e+01,7.088100198847187130e+02,2.903920486744456753e+02
1.596142863285277436e+00,1.173121263707072703e+00,2.927046359746603155e-02,3.792869102744264587e-02,3.459699431126187363e+01,9.516538088524819727e+01,1.070280911706456436e+03
1.460721472100772633e+00,1.275866785624970579e+00,5.229571235776811836e-03,1.711788979719436332e-03,3.617077197708815106e+01,1.454206288607194324e+02,1.175782781322412575e+03
1.453470768191386098e+00,1.277180896593013371e+00,1.647766194475161830e-02,8.727779999329488697e-03,4.495207464858843593e+01,7.271344280212171043e+02,2.652543987784960109e+02
1.560419857233908303e+00,1.197405336924132646e+00,3.940902981447993308e-02,1.534188518016447143e-02,3.595275615605493869e+01,2.213856726953068801e+02,9.674921249412873294e+02
1.381217613200337535e+00,1.347212830697630981e+00,2.026676952455744307e-02,4.443687919978349388e-02,3.742359919572582072e+01,5.143923131263449022e+02,5.729655938353321289e+02
1.409708502582597500e+00,1.319455203951817257e+00,4.725788131080049456e-03,5.397427985345693707e-03,3.900165629392349587e+01,5.440364041463590183e+02,3.352568954047050624e+02
1.532098226370286920e+00,1.218213791522933853e+00,3.524988667886449351e-02,1.302227517623321534e-02,3.683037942404832421e+01,4.044607387165489172e+02,8.966991896596423430e+02
1.387841779723523405e+00,1.336001800108300275e+00,1.317565000077684616e-02,4.007318397308694789e-03,4.548455842540172256e+01,4.858195617944314790e+02,4.282397825857366058e+00
1.392383187964449043e+00,1.336025139149947139e+00,1.787743023561380942e-02,3.886692587691229633e-02,3.835877063497593298e+01,1.622586136047244736e+02,3.286533529335259232e+02
1.597824360799203980e+00,1.166647475293018488e+00,3.161266199910042762e-02,1.341431670166193940e-03,4.492147175525878566e+01,3.994644772973438762e+02,1.103295282018128546e+03
1.575543703914213944e+00,1.186329827773462409e+00,2.501155307767408131e-02,7.500317021703487366e-03,3.687198232813655352e+01,5.478379842236537343e+02,9.778414426145677680e+02
1.643250630158723968e+00,1.146978152753689972e+00,2.994995638684020550e-02,4.257397896644497803e-02,2.302288939746713581e+01,9.199528416223951410e+01,6.902388385436626095e+01
1.558902884825721147e+00,1.193402671414161231e+00,4.538834021587546952e-02,3.137620786920052030e-02,4.559481297337286065e+01,2.290985205335793182e+02,1.693726908555909745e+02
1.514139015464448068e+00,1.236249258535273121e+00,3.014735211083859057e-02,2.052425256101944595e-02,2.903864313083358084e+01,1.380233612766247120e+02,1.262515059253280697e+03
